,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
353,16423,CT186130,MINI ESFIHA FECHADA ALMANARA VERDURA 300G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
354,16424,CT186131,MINI KIBE FRITO ALMANARA 420G,ALMANARA,Laura Morais,Pietro,Pratos Prontos
355,16557,CT186241,ESPETO DE MEDALHÃO DE MANDIOCA TREM CAIPIRA 370G C/ 4 ESPETOS,TREM CAIPIRA,Laura Morais,Pietro,Pratos Prontos
356,16630,CT186311,"IOGURTE LÍQUIDO LACFREE BANANA, MAÇÃ E MAMÃO VERDE CAMPO 170G",VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
357,16631,CT186312,IOGURTE LÍQUIDO LACFREE MORANGO VERDE CAMPO 170G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
358,16632,CT186313,IOGURTE LÍQUIDO LACFREE NATURAL VERDE CAMPO 170G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
359,16633,CT186314,IOGURTE LÍQUIDO WHEY 14G COOKIES AND CREAM VERDE CAMPO 250G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
360,16634,CT186315,IOGURTE LÍQUIDO WHEY 14G MORANGO VERDE CAMPO 250G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
361,16635,CT186316,IOGURTE LÍQUIDO WHEY 21G COCO VERDE CAMPO 250G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
362,16636,CT186317,IOGURTE LÍQUIDO WHEY 21G DOCE DE LEITE VERDE CAMPO 250G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
363,16637,CT186318,IOGURTE LÍQUIDO WHEY 21G TORTA DE LIMÃO VERDE CAMPO 250G,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
364,16639,CT186320,QUEIJO COTTAGE LACFREE VERDE CAMPO 200G,VERDE CAMPO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
365,16640,CT186321,QUEIJO MUSSARELA LACFREE FATIADO VERDE CAMPO 150G,VERDE CAMPO,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
366,16641,CT186322,QUEIJO MUSSARELA LACFREE VERDE CAMPO 500G,VERDE CAMPO,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
367,16642,CT186323,QUEIJO MINAS PADRÃO LACFREE VERDE CAMPO 450G,VERDE CAMPO,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
368,16643,CT186324,REQUEIJÃO LACFREE TRADICIONAL VERDE CAMPO 180G,VERDE CAMPO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
369,16645,CT186326,SHAKE NATURAL WHEY CHOCOLATE VERDE CAMPO 250ML,VERDE CAMPO,Geovanna Bezerra,Pietro,Iogurtes
370,16787,CT186458,"CARNE  PEÇA BABY BEEF RESFRIADA ESTÂNCIA 92 - 0,9 A 1,2KG",MINERVA,Paulo Pereira,Pietro,Açougue
371,16788,CT186459,"CARNE  PEÇA MAMINHA CONGELADA ESTÂNCIA 92 - 0,95 A 1,05KG",MINERVA,Paulo Pereira,Pietro,Açougue
372,16834,CT186504,CEBOLA PICADA DAUCY 300G,GREENYARD FROZEN BRAZIL LTDA,Fairlie Padoan,Pietro,0
373,16838,CT186508,IOGURTE DESNATADO GREGO YORGUS 0% DE GORDURA 500G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
374,16839,CT186509,IOGURTE DESNATADO GREGO YORGUS 0% DE GORDURA 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
375,16840,CT186510,IOGURTE NATURAL GREGO YORGUS ZERO LACTOSE 0% GORDURA 500G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
376,16841,CT186511,IOGURTE GREGO ZERO LACTOSE 0% GORDURA YORGUS 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
377,16842,CT186512,IOGURTE DESNATADO GREGO YORGUS COM MEL 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
378,16843,CT186513,IOGURTE 18G PROTEÍNA YORGUS ULTRA MORANGO E BANANA ZERO LACTOSE 300G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
379,16844,CT186514,IOGURTE 18G PROTEÍNA YORGUS ULTRA BAUNILHA ZERO LACTOSE 300G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
380,16846,CT186516,IOGURTE INTEGRAL YORGUS KIDS BAUNILHA 100G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
381,16847,CT186517,IOGURTE GREGO INTEGRAL SABOR COCO YORGUS 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
382,16848,CT186518,IOGURTE GREGO INTEGRAL YORGUS 4% DE GORDURA 500G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
383,16849,CT186519,IOGURTE GREGO YORGUS 0% GORDURA FRUTAS SILVESTRES 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
384,16850,CT186520,IOGURTE INTEGRAL GREGO YORGUS SABOR BAUNILHA 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
385,16851,CT186521,IOGURTE GREGO YORGUS ZERO LACTOSE MORANGO 130G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
386,16852,CT186522,QUEIJO MINAS MEIA CURA JERSEY VITALATTE 320G,VITALATTE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
387,16853,CT186523,QUEIJO MINAS PADRÃO VITALATTE TRADICIONAL 350G,VITALATTE,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
388,16878,CT186589,TORTELLINI EMMENTHAL E LIMÃO SICILIANO SADA MASSAS 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
389,16879,CT186590,TORTELLINI MUSSARELA DE BÚFALA SADA MASSAS 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
390,16880,CT186591,CAPPELLETTI DE CARNE SADA MASSAS 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
391,16883,CT186594,RONDELLE SADA MASSAS PRESUNTO E QUEIJO 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
392,16884,CT186595,RONDELLE SADA MASSAS ESPINAFRE E MUSSARELA 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
393,16885,CT186596,CANELONE SADA MASSAS PRESUNTO E QUEIJO 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
394,16886,CT186597,CANELONE SADA MASSAS ESPINAFRE E MUSSARELA 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
395,16887,CT186598,GNOCCHI DE BATATA SADA MASSAS 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
396,16888,CT186599,TORTELLINI SADA MASSAS INTEGRAL MUSSARELA DE BÚFALA 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
397,16891,CT186602,TORTELLINI SADA MASSAS MARGHERITA VEGANO 500G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
398,16893,CT186604,MOLHO AO SUGO SADA CUISINE 400G,Sada Cuisine Comercio de Alimentos Ltda,Laura Morais,Pietro,Pratos Prontos
399,16894,CT186544,CARNE MOÍDA CONGELADA ORGÂNICA BIOCARNES 400G,BIOCARNES,Paulo Pereira,Pietro,Açougue
400,16895,CT186545,HAMBURGUER BOVINO ORGÂNICO BIOCARNES 360G,BIOCARNES,Paulo Pereira,Pietro,Açougue
401,16898,CT186548,ALMÔNDEGAS DE CARNE BOVINA ORGÂNICA BIOCARNES 360G,BIOCARNES,Paulo Pereira,Pietro,Açougue
402,17188,CT186812,PÃO    ARTESANO INTEGRAL PULLMAN 500G,BIMBO,João Reis,Pietro,Padaria
403,17702,CT187298,QUIBE VEGETARIANO MR VEGGY 330G,META FOODS PRODUTOS ALIMENTICIOS S.A,Fairlie Padoan,Pietro,Pratos Prontos
404,17711,CT187307,COXINHA VEGETARIANA MR VEGGY 360G,META FOODS PRODUTOS ALIMENTICIOS S.A,Fairlie Padoan,Pietro,Pratos Prontos
405,17719,CT187315,LEITE FRESCO DE AMÊNDOAS VIDA VEG 700ML,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
406,17721,CT187317,LEITE FRESCO DE AVEIA VIDA VEG 700ML,VIDA VEG LTDA,Fairlie Padoan,Pietro,Iogurtes
407,17769,CT187354,CARNE SECA JERKED BEEF PUL 400G,MINERVA,Paulo Pereira,Pietro,Açougue
408,17946,CT187507,BOLO DE LARANJA PANCO 300G,PANCO,João Reis,Pietro,Padaria
409,17947,CT187508,PÃO DE FORMA JÚNIOR PANCO 350G,PANCO,João Reis,Pietro,Padaria
410,17949,CT187510,PÃO DE FORMA VIDA 100% + BALANCEADA ZERO AÇÚCAR PANCO 380G,PANCO,João Reis,Pietro,Padaria
411,18024,CT187580,"GYOZA CONGELADO CLÁSSICO DE CARNE SUINA,CAMARÃO E ACELGA PANDA YA 320G",PandaYa Fabricacao e Comercio de Alimentos Eirelli,Laura Morais,Pietro,Pratos Prontos
412,18025,CT187581,GYOZA CONGELADO DE FRANGO COM NIRÁ E ABOBRINHA ITALIANA PANDA YA 320G,PandaYa Fabricacao e Comercio de Alimentos Eirelli,Laura Morais,Pietro,Pratos Prontos
413,18026,CT187582,GYOZA CONGELADO WINGS DE FRANGO DESFIADO E TOQUE APIMENTADO PANDA YA 320G,PandaYa Fabricacao e Comercio de Alimentos Eirelli,Laura Morais,Pietro,Pratos Prontos
414,18027,CT187583,GYOZA CONGELADO VEGGIE DE COGUMELOS E ABÓBORA KABOTIÃ PANDA YA 320G,PandaYa Fabricacao e Comercio de Alimentos Eirelli,Laura Morais,Pietro,Pratos Prontos
415,18028,CT187584,MOLHO SECRETO CONGELADO PANDA YA 170ML,PandaYa Fabricacao e Comercio de Alimentos Eirelli,Laura Morais,Pietro,Passáveis Refrigerados
416,18086,CT187629,CARNE    EM BIFES DE CONTRA FILÉ BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
417,18087,CT187630,CARNE    EM BIFES DE BABY BEEF BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
418,18088,CT187631,CARNE     EM BIFES DE MIOLO DE ALCATRA BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
419,18089,CT187632,CARNE    EM ISCAS DE MIOLO DE ALCATRA BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
420,18090,CT187633,CARNE    EM BIFES DE FILÉ MIGNON BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
421,18091,CT187634,CARNE EM BIFES PAILLARD DE FILÉ MIGNON BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
422,18092,CT187635,CARNE    EM ISCAS DE FILÉ MIGNON BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
423,18093,CT187636,CARNE MOÍDA   DE PATINHO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
424,18093,CT187636,CARNE MOÍDA   DE PATINHO BASSAR BB DIA A DIA 400G - PROMOCIONAL,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
425,18094,CT187637,CARNE    EM BIFES DE PATINHO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
426,18095,CT187638,CARNE    EM CUBOS DE PATINHO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
427,18096,CT187639,CARNE    EM ISCAS DE PATINHO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
428,18097,CT187640,CARNE    EM CUBOS DE ACÉM BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
429,18098,CT187641,CARNE MOÍDA   DE FRANGO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
430,18100,CT187643,CARNE EM BIFES DE COXÃO DURO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
431,18101,CT187644,CARNE     EM BIFES DE COXÃO MOLE BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
432,18102,CT187645,CARNE    EM CUBOS DE COXÃO MOLE BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
433,18103,CT187646,CARNE    EM ISCAS DE COXÃO MOLE BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
434,18104,CT187647,FILÉ DE PEITO DE FRANGO EM ISCAS BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
435,18161,CT187681,FILÉ SUÍNO EM PEÇA BASSAR BB DIA A DIA 500G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Suínos
436,18162,CT187682,CARNE    LAGARTO EM PEÇA EXTRA LIMPO BASSAR BB DIA A DIA 600G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
437,18163,CT187683,CARNE  OSSOBUCO FATIADA BASSAR 700G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
438,18164,CT187684,"CARNE  EM PEÇA PICANHA ANGUS PREMIUM BASSAR 1,2KG",B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
439,18165,CT187685,CARNE EM PEÇA MAMINHA BASSAR 1KG,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
440,18166,CT187686,CARNE  DENVER BASSAR 450G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
441,18167,CT187687,CARNE  FLAT IRON BASSAR 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
442,18294,CTAT1010,IOGURTE INTEGRAL COCO ATI LATTE 180G,LATICINIO ATILATTE LTDA,Geovanna Bezerra,Pietro,Iogurtes
443,18317,CT187824,LEITE    PASTEURIZADO TIPO A INTEGRAL LETTI 1L,LETTI,Geovanna Bezerra,Pietro,Leites Refrigerados
444,18318,CT187825,LEITE PASTEURIZADO TIPO A SEMIDESNATADO LETTI 1L,LETTI,Geovanna Bezerra,Pietro,Leites Refrigerados
445,18319,CT187826,LEITE    PASTEURIZADO TIPO A DESNATADO LETTI 1L,LETTI,Geovanna Bezerra,Pietro,Leites Refrigerados
446,18320,CT187827,IOGURTE LÍQUIDO DE MORANGO LETTI 250G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
447,18325,CT187832,LEITE FERMENTADO LETTI 180G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
448,18326,CT187833,LEITE FERMENTADO LETTI 1L,LETTI,Geovanna Bezerra,Pietro,Leites Refrigerados
449,18328,CT187835,IOGURTE NATURAL LETTI 500G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
450,18329,CT187836,IOGURTE NATURAL LETTI POTE 130G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
451,18330,CT187837,COALHADA NATURAL LETTI POTE 130G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
452,18331,CT187838,COALHADA COM BANANADA LETTI POTE 130G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
453,18332,CT187839,COALHADA COM GOIABADA LETTI POTE 130G,LETTI,Geovanna Bezerra,Pietro,Iogurtes
454,18441,CT187916,PÃO  DE QUEIJO FIORELLA FIT BATATA DOCE COM WHEY PROTEIN 400G,FIORELLA FIT INDÚSTRIA E DISTRIBUIDORA DE ALIMENTOS LTDA,Laura Morais,Pietro,Pães Congelados e Lanches
455,18732,CT188184,SALSICHA VIENA APERITIVO BERNA 300G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
456,18733,CT188185,SALSICHA FRANKFURTER BERNA 300G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
457,18734,CT188186,SALSICHA SWISS DOG BERNA 370G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
458,18735,CT188187,SALSICHA CERVELÁ BERNA 300G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
459,18736,CT188188,SALSICHA BRANCA SALSA WEISSWURST BERNA 300G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
460,18738,CT188190,SALSICHA DE CARNE VITELA E SUINA KALBSBRATWURST BERNA 260G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
461,18739,CT188191,SALSICHA DEBREZINER BERNA 280G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
462,18740,CT188192,LINGUIÇA DE CARNE SUÍNA DEFUMADA COCKTAIL BERNA 265G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
463,18741,CT188193,LINGUIÇA MISTA C/ QUEIJO PROVOLONE APERITIVO BERNA 285G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
464,18743,CT188195,LINGUIÇA CALABRESA COZIDA BERNA 345G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
465,18746,CT188198,PATÊ DE VITELA BERNA 100G,BERNA,Paulo Pereira,Pietro,Passáveis Refrigerados
466,18747,CT188199,PATÊ DE FÍGADO DE FRANGO BERNA 100G,BERNA,Paulo Pereira,Pietro,Passáveis Refrigerados
467,18752,CT188204,MOSTARDA BERNA FORTE 230G,BERNA,Paulo Pereira,Pietro,Passáveis Refrigerados
468,18753,CT188205,MOSTARDA BERNA ESCURA 230G,BERNA,Paulo Pereira,Pietro,Passáveis Refrigerados
469,18754,CT188206,MOSTARDA BERNA ADOCICADA 230G,BERNA,Paulo Pereira,Pietro,Passáveis Refrigerados
470,18758,CT188210,SALSICHA VEGETARIANA BERNA 360G,BERNA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
471,18829,CT188273,NHOQUE DE BATATA DOCE AO MOLHO SUGO IRANI 400G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
472,18832,CT188276,COXINHA LOW CARB DE FRANGO COM CREAM CHEESE IRANI 240G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
473,18834,CT188278,MINI PASTEL DE BLANQUET PERU LIGHT E MUSSARELA  IRANI 400G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
474,18839,CT188283,KIBE LOW CARB COM CREAM CHEESE E MUSSARELA DE BÚFALA IRANI 220G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
475,18840,CT188284,MINI KIBE LOW CARB DE CARNE BOVINA E QUINOA  IRANI 240G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
476,18841,CT188285,COXINHA DE FRANGO  IRANI 200G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
477,18842,CT188286,COXINHA DE BATATA DOCE  IRANI 200G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
478,18844,CT188288,MINI PASTEL DE FRANGO  IRANI 200G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
479,18845,CT188289,MINI PASTEL DE QUEIJO  IRANI 200G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
480,18846,CT188290,KIBE VEGANO IRANI 180G,IRANI MAGGIORE ALIMENTOS SEM GLUTEN EIRELI,Laura Morais,Pietro,Pratos Prontos
481,18857,CT188301,MARGARINA CREMOSA SEM SAL DORIANA 500G,SEARA,Paulo Pereira,Pietro,Passáveis Refrigerados
482,18860,CT188304,ALMÔNDEGA SEARA 500G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
483,18861,CT188305,CHICKEN CRISPY SUPREME SEARA 300G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
484,18862,CT188306,CHICKEN CRISPY TRADICIONAL SEARA 300G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
485,18863,CT188307,EMPANADO PRESUNTO E QUEIJO SEARA 120G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
486,18872,CT188316,SALSICHA LONGUETTE SEARA 500G,SEARA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
487,18877,CT188321,BACON EM CUBOS SEARA GOURMET 140G,SEARA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
488,18879,CT188323,COSTELA BARBECUE SEARA GOURMET 1KG,SEARA,Paulo Pereira,Pietro,Açougue
489,18880,CT188324,HAMBURGUER GRAN ANGUS SEARA GOURMET 400G,SEARA,Paulo Pereira,Pietro,Açougue
490,18884,CT188328,SALAME TIPO HAMBURGUÊS FATIADO SEARA GOURMET 100G,SEARA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
491,18885,CT188329,SALAME  TIPO ITALIANO FATIADO SEARA GOURMET 100G,SEARA,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
492,18889,CT188333,EMPANADOS TRADICIONAL SEARA TEKITOS 300G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
493,18914,CT188358,KIBE SEARA 500G,SEARA,Paulo Pereira,Pietro,Pratos Prontos
494,18982,CT188407,PÃO RECHEADO DE CALABRESA CONGELADO BRICO 220G,BRICO BREAD ALIMENTOS LTDA,Laura Morais,Pietro,Pratos Prontos
495,18985,CT188410,MINI CHIPA CONGELADA BRICO 400G,BRICO BREAD ALIMENTOS LTDA,Laura Morais,Pietro,Pratos Prontos
496,19006,CT188431,PÃO DE FORMA AUSTRALIANO INTEGRAL WICKBOLD DO FORNO 500G,WICKBOLD,João Reis,Pietro,Padaria
497,19277,CT188671,SUCO INTEGRAL REFRIGERADO NATURAL ONE MAÇÃ 900ML,NATURAL ONE - REFRIGERADOS,Fairlie Padoan,Pietro,0
498,19514,CT188873,QUEIJO MUSSARELA TIROLEZ PEDAÇO 300G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
499,19515,CT188874,QUEIJO PRATO PEDAÇO TIROLEZ 380G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
500,19516,CT188875,QUEIJO TIPO BRIE TIROLEZ 125G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
501,19517,CT188876,QUEIJO TIPO CAMEMBERT TIROLEZ 125G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
502,19518,CT188877,REQUEIJÃO CREMOSO ZERO LACTOSE TIROLEZ 200G,TIROLEZ,Geovanna Bezerra,Pietro,Passáveis Refrigerados
503,19520,CT188879,QUEIJO MINAS FRESCAL ZERO LACTOSE TIROLEZ 270G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
504,19522,CT188881,CREME CHANTILLY SPRAY POLENGHI 250G,POLENGHI,Geovanna Bezerra,Pietro,Leites Refrigerados
505,19523,CT188872,QUEIJO MINAS MEIA CURA TIROLEZ 600G,TIROLEZ,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
506,19601,CT188938,IOGURTE KEFIR REGGULA INTEGRAL SEM AÇÚCAR KEIFF 500G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
507,19603,CT188940,IOGURTE KEFIR REGGULA DESNATADO SEM AÇÚCAR KEIFF 500G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
508,19604,CT188941,IOGURTE KEFIR REGGULA DESNATADO MORANGO KEIFF 500G,VITALATTE,Geovanna Bezerra,Pietro,Iogurtes
509,19700,CT189037,MOLHO SABOR QUEIJO CHEDDAR POLENGHI 220G,POLENGHI,Geovanna Bezerra,Pietro,Passáveis Refrigerados
510,19816,CT189144,ANÉIS DE CEBOLA CONGELADOS MCCAIN 400G,SPEERS FOODS IMP EXP COM ALIM LTDA,Laura Morais,Pietro,Pratos Prontos
511,19817,CT189145,BATATA CONGELADA SMILES MCCAIN 400G,SPEERS FOODS IMP EXP COM ALIM LTDA,Laura Morais,Pietro,Pratos Prontos
512,19820,CT189148,BATATA CONGELADA TRADICIONAL MCCAIN 720G,SPEERS FOODS IMP EXP COM ALIM LTDA,Laura Morais,Pietro,Pratos Prontos
513,19845,CT189176,MANTEIGA   SEM SAL PRESIDENT TABLETE 200G,LACTALIS,Geovanna Bezerra,Pietro,Passáveis Refrigerados
514,19846,CT189177,MANTEIGA   COM SAL PRESIDENT TABLETE 200G,LACTALIS,Geovanna Bezerra,Pietro,Passáveis Refrigerados
515,19846,CT189177,MANTEIGA COM SAL PRESIDENT TABLETE 200G - PROMOCIONAL,LACTALIS,Geovanna Bezerra,Pietro,Passáveis Refrigerados
516,19849,CT189180,MANTEIGA E MARGARINA COM SAL MIX VIGOR 500G,VIGOR,Geovanna Bezerra,Pietro,Passáveis Refrigerados
517,19853,CT189185,MANTEIGA   PRESIDENT LA MOTTE COM SAL 250G,LACTALIS,Geovanna Bezerra,Pietro,Passáveis Refrigerados
518,19854,CT189186,REQUEIJÃO CREMOSO TRADICIONAL POÇOS DE CALDAS 200G,LACTALIS,Geovanna Bezerra,Pietro,Passáveis Refrigerados
519,19855,CT189187,REQUEIJÃO CREMOSO LIGHT POÇOS DE CALDAS 200G,LACTALIS,Geovanna Bezerra,Pietro,Passáveis Refrigerados
520,19859,CT189192,MANTEIGA COM SAL AVIAÇÃO TABLETE 200G,AVIAÇÃO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
521,19860,CT189193,MANTEIGA SEM SAL AVIAÇÃO TABLETE 200G,AVIAÇÃO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
522,19933,CT189267,BISTECA SUÍNA BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Suínos
523,19938,CT189272,CARNE    EM ISCAS DE FÍGADO BASSAR BB DIA A DIA 400G,B.B. DISTRIB DE CARNES LTDA,Paulo Pereira,Pietro,Açougue
524,20004,CT189334,MANTEIGA SEM SAL LA SERENÍSSIMA 200G,La Serenissima,Geovanna Bezerra,Pietro,Passáveis Refrigerados
525,20005,CT189335,MANTEIGA EXTRA COM SAL LA SERENISSÍMA 200G,La Serenissima,Geovanna Bezerra,Pietro,Passáveis Refrigerados
526,20088,CT189419,GNOCCHI DE ABÓBORA RANA GIOIAVERDE 400G,CALIMP,Laura Morais,Pietro,Massas Frescas
527,20089,CT189420,GNOCCHI DE TOMATE E MOZZARELLA RANA 400G,CALIMP,Laura Morais,Pietro,Massas Frescas
