,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
58,9125,CRN02,CARNE   ESTROGONOFE DE MIGNON DOC 350G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
59,9126,CRN03,CARNE   DE PANELA PEITO FARMI 560G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
60,9127,CRN04,CARNE MOÍDA LIGHT FARMI 520G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
61,9128,CRN05,CARNE    PAILLARD DOC 360G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
62,9129,CRN06,CARNE   BIFE DE ALCATRA FARMI 520G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
63,9130,CRN07,CARNE BIFE DE MIGNON DOC 440G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
64,9131,CRN08,CARNE   MEDALHÃO DE MIGNON DOC 340G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
65,9132,CRN09,CARNE   BIFE ANCHO 481 400G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
66,9133,CRN10,CARNE   BIFE DE CHORIZO 481 360G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
67,9154,CRN31,"CARNE PEÇA DE FILÉ MIGNON FARMI 1,4KG",PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
68,9155,CRN32,CARNE FRALDINHA RED FARMI 600G,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
69,9156,CRN33,CARNE MAMINHA 481 1KG,PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
70,9157,CRN34,"CARNE PICANHA 481 1,25KG",PRIME CATER COMERCIAL DE PROD. ALIMENTICIOS LTDA,Paulo Pereira,Pietro,Açougue
71,9308,CT544,PÃO DE GRÃOS WICKBOLD DE CASTANHA DO PARÁ E QUINOA 500G,WICKBOLD,João Reis,Pietro,Padaria
72,9309,CT545,PÃO DE GRÃOS WICKBOLD DE CHIA E MACADAMIA 400G,WICKBOLD,João Reis,Pietro,Padaria
73,9310,CT546,PÃO DE FORMA 100% NUTRIÇÃO WICKBOLD GIRASSOL E CASTANHA 400G,WICKBOLD,João Reis,Pietro,Padaria
74,9336,CT551,PÃO DE FORMA VIDA 100% + BRASILIDADE PANCO CASTANHAS BRASILEIRAS 380G,PANCO,João Reis,Pietro,Padaria
75,9458,CT558,BOLO DE CHOCOLATE PANCO 300G,PANCO,João Reis,Pietro,Padaria
76,9459,CT559,BOLO DE ABACAXI PANCO 300G,PANCO,João Reis,Pietro,Padaria
77,9460,CT560,BOLO DE COCO PANCO 300G,PANCO,João Reis,Pietro,Padaria
78,9471,CT10005,PRESUNTO CRU VITO BALDUCCI FATIADO 100G,ALLFOOD,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
79,9587,FRSH002,CORAÇÃO DE FRANGO BOA PEDIDA KORIN 600G,KORIN,Paulo Pereira,Pietro,0
80,9899,CT638,MORTADELA BOLOGNA CERATTI TRADICIONAL 150G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
81,9900,CT639,MORTADELA BOLOGNA CERATTI C/ PISTACHE 150G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
82,9901,CT640,MORTADELA BOLOGNA CERATTI LIGHT FATIADA 100G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
83,9903,CT642,SALAME     HAMBURGUES CERATTI FATIADO 150G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
84,9905,CT646,LINGUIÇA COM PIMENTA BIQUINHO CERATTI 500G,CERATTI,Paulo Pereira,Pietro,"Queijos, Frios e Embutidos"
