id_modelo,cod_produto,nome,preco_loja_programada,preco_loja_fresh,
23711,CT192709,LUVAS TAREFAS PESADAS LIMPPANO M,"17,89",,Jefferson Moraes
23728,CT192726,ABSORVENTE LADYSOFT NOTURNO C/ ABAS 8UN,"6,19",,Jefferson Moraes
23745,CT192757,AMACIANTE   CONCENTRADO MON BIJOU CLASSICO 1L,"21,49",,Jefferson Moraes
23754,CT19022,PALMITO   PUPUNHA PICADO RECHEIO FLEX GOLDEN PALM 200G,"9,99",,Juliana Rodrigues
23814,CT192842,CERVEJA CARACU LATA 350ML,"4,99",,Camila Fim
23841,CT192862,FILÉ DE CAÇÃO CONGELADO FRESCATTO 500G,"33,9","33,9",Paulo Pereira
23842,CT192863,FILE DE LINGUADO CONGELADO FRESCATTO 500G,"53,9","53,9",Paulo Pereira
23843,CT192864,KANI KAMA CONGELADO FRESCATTO 200G,"12,89","12,89",Paulo Pereira
23846,CT192867,MEDALHÃO DE SALMÃO CONGELADO FRESCATTO 500G,"95,9","95,9",Paulo Pereira
23847,CT192868,SALMÃO DEFUMADO CONGELADO FRESCATTO 100G,"35,9","35,9",Paulo Pereira
23848,CT192869,BACALHAU MORHUA LASCAS FRESCATTO 500G,"85,9","85,9",Paulo Pereira
23935,CT192948,RAÇÃO SECA PARA CÃES ADULTOS SÊNIOR RAÇAS GRANDES PREMIER CORDEIRO 15KG,"263,9",,Gabriela Pereira
23969,CT192968,MOLHO   DE PIMENTA-VERMELHA SUAVE COM ALHO TABASCO 60ML,"26,99",,Juliana Rodrigues
23988,CT192984,RAÇÃO SECA PARA CÃES ADULTOS ROYAL CANIN HYPOALLERGENIC MODERATE CALORIE 2KG,"159,9",,Gabriela Pereira
24022,CT193018,RAÇÃO ÚMIDA PARA GATOS ADULTOS WHISKAS PATÊ CARNE LATA 290G,"12,99",,Gabriela Pereira
24025,CT193021,TEMPERO COMPLETO SABOR AMI COM PIMENTA 300G,"6,29",,Juliana Rodrigues
24026,CT193022,SOPA VONO FRANGO COM QUEIJO 18G,"3,49",,Juliana Rodrigues
24027,CT193023,SOPA VONO MANDIOQUINHA COM CEBOLA E SALSA 18G,"3,49",,Juliana Rodrigues
24028,CT193024,SOPA VONO BATATA COM CARNE 18G,"3,49",,Juliana Rodrigues
24029,CT193025,SOPA VONO MILHO COM FRANGO 18G,"3,49",,Juliana Rodrigues
24030,CT193026,TEMPERO PARA CARNES SAZÓN 60G,"6,69",,Juliana Rodrigues
24031,CT193028,AZEITE  PORTUGUÊS  TIPO ÚNICO GALLO DIA A DIA 400ML,"42,9",,Leny Neta
24032,CT193029,AZEITE  PORTUGUÊS  EXTRA VIRGEM GALLO COLHEITA MADURA 500ML,"89,9",,Leny Neta
24034,CT193031,AZEITE  PORTUGUÊS  EXTRA VIRGEM GALLO LATA 500ML,"53,9",,Leny Neta
24037,CT193034,VINAGRE BALSÂMICO DI MODENA COLAVITA 250ML,"32,9",,Leny Neta
24038,CT193035,VINAGRE BALSÂMICO DI MODENA COLAVITA 500ML,"35,9",,Leny Neta
24039,CT193036,MOLHO DE TOMATE LA PASSATA COLAVITA 680G,"23,89",,Leny Neta
24040,CT193037,TOMATE PELADO COLAVITA 400G,"16,99",,Leny Neta
24041,CT193038,FARINHA DE TRIGO TIPO 00 COLAVITA 1KG,"20,99",,Leny Neta
24042,CT193039,POLENTA INSTANTÂNEA COLAVITA 500G,"21,99",,Leny Neta
24045,CT193042,MACARRÃO CAPELLINI COLAVITA 500G,"24,59",,Leny Neta
24047,CT193044,MACARRÃO TAGLIATELLE COLAVITA 500G,"20,79",,Leny Neta
24048,CT193045,MACARRÃO FETUCCINE COLAVITA 500G,"21,99",,Leny Neta
24052,CT193050,APARELHO DE DEPILAR GILLETTE VENUS SUAVE C/4,"23,89",,Jefferson Moraes
24053,CT193051,ESCOVA DE DENTE ORAL-B COLOR COLLECTION PACK FAMÍLIA C/5,"37,9",,Jefferson Moraes
24054,CT193052,AMACIANTE DOWNY CONCENTRADO BRISA INTENSO 1L,"29,89",,Jefferson Moraes
24056,CT193054,CREME DENTAL ORAL-B KIDS SPIDERMAN 50G,"9,99",,Jefferson Moraes
24060,CT193058,FEIJÃO    CARIOCA ORGÂNICO KICALDO 500G,"9,49",,Leny Neta
24076,CT193077,SHAMPOO K-PAK JOICO RECONSTRUCTING 300ML,"139,9",,Manuella Oliveira
24077,CT193078,CONDICIONADOR K-PAK JOICO RECONSTRUCTING 250ML,"149,9",,Manuella Oliveira
24078,CT193079,SHAMPOO K-PAK JOICO CLARIFYING ANTIRRESIDUO 300ML,"139,9",,Manuella Oliveira
24081,CT193083,TRATAMENTO CAPILAR RECONSTRUTOR K-PAK JOICO DEEP-PENETRATING 150ML,"189,9",,Manuella Oliveira
24082,CT193084,TRATAMENTO CAPILAR K-PAK JOICO HYDRATOR INTENSE FOR DRY 250ML,"189,9",,Manuella Oliveira
24084,CT193086,SHAMPOO K-PAK JOICO COLOR THERAPY 300ML,"139,9",,Manuella Oliveira
24085,CT193087,CONDICIONADOR K-PAK JOICO COLOR THERAPY 250ML,"119,9",,Manuella Oliveira
24086,CT193088,MÁSCARA CAPILAR K-PAK JOICO COLOR THERAPY LUSTER LOCK SMART RELEASE 150ML,"164,9",,Manuella Oliveira
24089,CT193091,SHAMPOO JOIFULL JOICO VOLUMIZADOR SMART RELEASE 300ML,"146,9",,Manuella Oliveira
24090,CT193092,CONDICIONADOR JOIFULL JOICO VOLUMIZADOR SMART RELEASE 250ML,"139,9",,Manuella Oliveira
24091,CT193093,MODELADOR VOLUMIZADOR JOIFULL JOICO SMART RELEASE 100ML,"159,9",,Manuella Oliveira
24092,CT193094,SHAMPOO HIDRATANTE JOICO HYDRA SPLASH SMART RELEASE 300ML,"149,9",,Manuella Oliveira
24093,CT193095,CONDICIONADOR HIDRATANTE JOICO HYDRA SPLASH SMART RELEASE 250ML,"142,9",,Manuella Oliveira
24094,CT193096,MÁSCARA CAPILAR JOICO HYDRA SPLASH HYDRATING SMART RELEASE 150ML,"198,9",,Manuella Oliveira
24095,CT193097,LEAVE-IN HIDRATANTE JOICO HYDRA SPLASH SMART RELEASE 100ML,"209,9",,Manuella Oliveira
24148,CT193152,PÃO TÁ PRONTO PROTEÍNA WICKBOLD 270G,"12,99","12,99",João Reis
24152,CT193156,SABONETE LÍQUIDO GEL DE LIMPEZA FACIAL DARROW ACTINE 140G,"52,9",,Manuella Oliveira
24153,CT193157,GEL DE LIMPEZA ACTINE 400G,"86,9",,Manuella Oliveira
24189,CT193190,VINHO TINTO CHILENO LEYDA PINOT NOIR 750ML,"79,9",,Vinicius Teixeira
24190,CT193193,LOÇÃO DE LIMPEZA HIDRATANTE CERAVE PELE NORMAL A SECA 473ML,"104,9",,Manuella Oliveira
24213,CT193216,ADOÇANTE LÍQUIDO LINEA XILITOL E SUCRALOSE 60ML,"17,29",,Vitória Maia
24230,CT193233,ALVEJANTE QBOA COM DETERGENTE PLUS 1L,"6,29",,Jefferson Moraes
24232,CT193235,LIMPADOR DESENGORDURANTE QBOA COZINHA 500ML,"7,99",,Jefferson Moraes
